Tanggal,Beras,Daging Ayam,Telur Ayam,Cabai Merah,Cabai Rawit
03/27/2023,6500,19200,25750,24200,45000
03/28/2023,6500,19200,25750,24200,45000
03/29/2023,6500,19200,25750,24200,45000
03/30/2023,6500,19200,25750,24200,45000
03/31/2023,6500,19200,25750,24200,45000
04/03/2023,6500,19200,25750,24200,45000
04/04/2023,6500,19200,25750,24200,45000
04/05/2023,6500,19200,25750,24200,45000
04/06/2023,6500,19200,25750,24200,45000
04/07/2023,6500,19200,25750,24200,45000
04/10/2023,6500,19200,25750,24200,45000
04/11/2023,6500,19200,25750,24200,45000
04/12/2023,6500,19200,25750,24200,45000
04/13/2023,6500,19200,25750,24200,45000
04/14/2023,6500,19200,25750,24200,45000
04/17/2023,6500,19200,25750,24200,45000
04/18/2023,6500,19200,25750,24200,45000
04/19/2023,6500,19200,25750,24200,45000
04/20/2023,6500,19200,25750,24200,45000
04/21/2023,6500,19200,25750,24200,45000
04/24/2023,6500,19200,25750,24200,45000
04/25/2023,6500,19200,25750,24200,45000
04/26/2023,6250,16000,24700,17700,22000
04/27/2023,6250,16000,24700,17700,22000
04/28/2023,6250,16000,24700,17750,22000
05/01/2023,6250,16000,24700,17750,22000
05/02/2023,6250,16000,24700,17750,22000
05/03/2023,6250,16000,24700,17750,22000
05/04/2023,6250,16000,24700,17750,22000
05/05/2023,6250,16000,24700,17750,22000
05/08/2023,6250,16000,24700,17750,22000
05/09/2023,6250,16000,24700,17750,22000
05/10/2023,6250,16000,24700,17750,22000
05/11/2023,6250,16000,24700,17750,22000
05/12/2023,6250,16000,24700,17750,22000
05/15/2023,6250,16000,24700,17750,22000
05/16/2023,6250,16000,24700,17750,22000
05/17/2023,6250,16000,24700,17750,22000
05/18/2023,6250,16000,24700,17750,22000
05/19/2023,6250,16000,24700,17750,22000
05/22/2023,6250,16000,24700,17750,22000
05/23/2023,6250,16000,24700,17750,22000
05/24/2023,6250,16000,24700,17750,22000
05/25/2023,6250,27150,28400,10000,18500
05/26/2023,6250,27150,28400,10000,18500
05/29/2023,6250,27150,28400,10000,18500
05/30/2023,6250,27150,28400,10000,18500
05/31/2023,6250,27150,28400,10000,18500
06/01/2023,6250,27150,28400,10000,18500
06/02/2023,6250,27150,28400,10000,18500
06/05/2023,6250,27150,28400,10000,18500
06/06/2023,6250,27150,28400,10000,18500
06/07/2023,6250,27150,28400,10000,18500
06/08/2023,6250,27150,28400,10000,18500
06/09/2023,6250,27150,28400,10000,18500
06/12/2023,6250,27150,28400,10000,18500
06/13/2023,6250,27150,28400,10000,18500
06/14/2023,6250,27150,28400,10000,18500
06/15/2023,6250,27150,28400,10000,18500
06/16/2023,6250,27150,28400,10000,18500
06/19/2023,6250,27150,28400,10000,18500
06/20/2023,6250,27150,28400,10000,18500
06/21/2023,6250,27150,28400,10000,18500
06/22/2023,6250,27150,28400,10000,18500
06/23/2023,6250,27150,28400,10000,18500
06/26/2023,6450,23150,28400,18000,30000
06/27/2023,6450,23150,28400,18000,30000
06/28/2023,6450,23150,28400,18000,30000
06/29/2023,6450,23150,28400,18000,30000
06/30/2023,6450,23150,28400,18000,30000
07/03/2023,6450,23150,28400,18000,30000
07/04/2023,6450,23150,28400,18000,30000
07/05/2023,6450,23150,28400,18000,30000
07/06/2023,6450,23150,28400,18000,30000
07/07/2023,6450,23150,28400,18000,30000
07/10/2023,6450,23150,28400,18000,30000
07/11/2023,6450,23150,28400,18000,30000
07/12/2023,6450,23150,28400,18000,30000
07/13/2023,6450,23150,28400,18000,30000
07/14/2023,6450,23150,28400,18000,30000
07/17/2023,6450,23150,28400,18000,30000
07/18/2023,6450,23150,28400,18000,30000
07/19/2023,6450,23150,28400,18000,30000
07/20/2023,6450,23150,28400,18000,30000
07/21/2023,6450,23150,28400,18000,30000
07/24/2023,6450,23150,28400,18000,30000
07/25/2023,6450,20500,27350,30000,33000
07/26/2023,6450,20500,27350,30000,33000
07/27/2023,6450,20500,27350,30000,33000
07/28/2023,6450,20500,27350,30000,33000
07/31/2023,6450,20500,27350,30000,33000
08/01/2023,6450,20500,27350,30000,33000
08/02/2023,6450,20500,27350,30000,33000
08/03/2023,6450,20500,27350,30000,33000
08/04/2023,6450,20500,27350,30000,33000
08/07/2023,6450,20500,27350,30000,33000
08/08/2023,6450,20500,27350,30000,33000
08/09/2023,6450,20500,27350,30000,33000
08/10/2023,6450,20500,27350,30000,33000
08/11/2023,6450,20500,27350,30000,33000
08/14/2023,6450,20500,27350,30000,33000
08/15/2023,6450,20500,27350,30000,33000
08/16/2023,6450,20500,27350,30000,33000
08/17/2023,6450,20500,27350,30000,33000
08/18/2023,6450,20500,27350,30000,33000
08/21/2023,6450,20500,27350,30000,33000
08/22/2023,6450,20500,27350,30000,33000
08/23/2023,6450,20500,27350,30000,33000
08/24/2023,6450,20500,27350,30000,33000
08/25/2023,6450,19150,24100,40000,35000
08/28/2023,6450,19000,24100,40000,35000
08/29/2023,6450,19000,24100,40000,35000
08/30/2023,6450,19000,24100,40000,35000
08/31/2023,6450,19000,24100,40000,35000
09/01/2023,6450,19000,24100,40000,35000
09/04/2023,6450,19000,24100,40000,35000
09/05/2023,6450,19000,24100,40000,35000
09/06/2023,6450,19000,24100,40000,35000
09/07/2023,6450,19000,24100,40000,35000
09/08/2023,6450,19000,24100,40000,35000
09/11/2023,6450,19000,24100,40000,35000
09/12/2023,6450,19000,24100,40000,35000
09/13/2023,6450,19000,24100,40000,35000
09/14/2023,6450,19000,24100,40000,35000
09/15/2023,6450,19000,24100,40000,35000
09/18/2023,6450,19000,24100,40000,35000
09/19/2023,6450,19000,24100,40000,35000
09/20/2023,6450,19000,24100,40000,35000
09/21/2023,6450,19000,24100,40000,35000
09/22/2023,6450,19000,24100,40000,35000
09/25/2023,6550,16800,22900,29100,29000
09/26/2023,6550,16500,22900,29100,29000
09/27/2023,6550,16500,22900,29100,29000
09/28/2023,6550,16500,22900,29100,29000
09/29/2023,6550,16500,22900,29100,29000
10/02/2023,6550,16500,22900,29100,29000
10/03/2023,6550,16500,22900,29100,29000
10/04/2023,6550,16500,22900,29100,29000
10/05/2023,6550,16500,22900,29100,29000
10/06/2023,6550,16500,22900,29100,29000
10/09/2023,6550,16500,22900,29100,29000
10/10/2023,6550,16500,22900,29100,29000
10/11/2023,6550,16500,22900,29100,29000
10/12/2023,6550,16500,22900,29100,29000
10/13/2023,6550,16500,22900,29100,29000
10/16/2023,6550,16500,22900,29100,29000
10/17/2023,6550,16500,22900,29100,29000
10/18/2023,6550,16500,22900,29100,29000
10/19/2023,6550,16500,22900,29100,29000
10/20/2023,6550,16500,22900,29100,29000
10/23/2023,6550,16500,22900,29100,29000
10/24/2023,6550,16500,22900,29100,29000
10/25/2023,6200,16800,22900,30100,29000
10/26/2023,6200,16800,22900,30100,29000
10/27/2023,5800,16950,22900,30100,29000
10/30/2023,5800,16950,22900,30100,29000
10/31/2023,5800,16950,22900,30100,29000
